Senaryo,Talep_B_Mbps,Algoritma,Tekrar_Sayisi,Gecerli_Deneme,Basarisiz_Deneme,Ort_Maliyet,Std_Maliyet,En_Iyi_Maliyet,En_Kotu_Maliyet,Ort_Gecikme_ms,Ort_ReliabilityCost,Ort_ResourceCost,Ort_Sure_ms
8->44,200.0,GA,5,5,0,6.423424778287827,8.881784197001252e-16,6.423424778287828,6.423424778287828,10.41,0.1241706376490527,5.905867934965559,12661.69605255127
8->44,200.0,ACO,5,5,0,6.458896468700601,0.07094338082554756,6.423424778287828,6.600783230351697,10.72,0.11512529411240732,5.321794402334396,57062.84604072571
24->221,172.0,GA,5,5,0,6.087324639639934,0.0,6.087324639639934,6.087324639639934,10.99,0.15249804951348161,2.732876123929448,18850.04906654358
24->221,172.0,ACO,5,4,1,6.9760114973205996,0.9523411060377452,6.087324639639934,8.34882489059885,12.605,0.1308657617509939,3.171258843976508,43540.126621723175
32->42,162.0,GA,5,5,0,7.257175706902617,0.0,7.257175706902617,7.257175706902617,12.86,0.08224754760221299,4.012507213109764,10458.03256034851
32->42,162.0,ACO,5,5,0,7.725528408951218,0.4520623158033544,7.257175706902617,8.477930816243612,13.953999999999999,0.11683529958613925,3.5673890953768845,62822.715854644775
37->208,124.0,GA,5,5,0,7.0948390142161895,0.0,7.0948390142161895,7.0948390142161895,12.23,0.09309752546163749,4.759548782888489,19214.320755004883
37->208,124.0,ACO,5,5,0,7.870008685340721,0.5619739847507593,7.0948390142161895,8.63318582981975,13.672,0.08026500885018972,5.049645913428324,64229.44316864014
51->124,94.0,GA,5,5,0,4.326900247077891,0.0,4.326900247077891,4.326900247077891,8.18,0.06424130237504426,1.08813928182689,953.9628028869629
51->124,94.0,ACO,5,5,0,4.326900247077891,0.0,4.326900247077891,4.326900247077891,8.18,0.06424130237504426,1.08813928182689,45915.87138175964
53->19,57.0,GA,5,5,0,5.482450922332583,0.0,5.482450922332583,5.482450922332583,9.85,0.19171021670934363,2.499689286598897,9888.515043258667
53->19,57.0,ACO,5,5,0,7.302458465254841,2.2292708138592405,5.482450922332583,10.08264888594171,12.996,0.22772788479314726,3.680700499084483,35208.38346481323
58->106,115.0,GA,5,5,0,5.574277823780584,0.0,5.574277823780584,5.574277823780584,9.700000000000001,0.17628791878789485,3.356957240721072,10009.312915802002
58->106,115.0,ACO,5,5,0,5.574277823780584,0.0,5.574277823780584,5.574277823780584,9.700000000000001,0.17628791878789485,3.356957240721072,31925.400400161743
64->237,98.0,GA,5,5,0,5.210544870643054,0.0,5.210544870643054,5.210544870643054,9.79,0.11941530307722155,1.3986013985994425,479.4268608093262
64->237,98.0,ACO,5,5,0,5.210544870643054,0.0,5.210544870643054,5.210544870643054,9.79,0.11941530307722155,1.3986013985994425,30417.061614990234
77->67,135.0,GA,5,5,0,7.4071651323143115,0.0,7.4071651323143115,7.4071651323143115,12.15,0.1177543500170231,6.48419413654602,9965.196943283081
77->67,135.0,ACO,5,5,0,8.1888376143578,0.8529713634275009,7.4071651323143115,9.82067205498041,14.412,0.11962452655063202,4.734751281963052,36402.49905586243
82->39,19.0,GA,5,5,0,6.14009711455531,0.0,6.14009711455531,6.14009711455531,9.05,0.11462655016071319,7.9035457475354765,9335.440683364868
82->39,19.0,ACO,5,5,0,6.14009711455531,0.0,6.14009711455531,6.14009711455531,9.05,0.11462655016071319,7.9035457475354765,27676.70292854309
85->180,24.0,GA,5,5,0,5.723276591297909,0.0,5.723276591297909,5.723276591297909,10.37,0.16413441448350127,2.445181334764291,9814.728927612305
85->180,24.0,ACO,5,5,0,6.872586098946195,1.0925261789374294,5.723276591297909,8.660237854557922,12.435999999999998,0.14249332266865694,3.059190510727986,39747.77817726135
